epoch,train_loss,train_acc,test_r1,test_r5,test_r10,test_mAP,test_mINP
0,5.352072011669894,0.24013624751632132,70.69518566131592,83.63636136054993,89.03743028640747,76.81261843154249,76.81261843154249
1,2.0324103475665964,0.6144195288106727,71.71123027801514,85.98930239677429,91.65775179862976,78.27714475111642,78.27714475111642
2,1.1549331127971267,0.7731478853250071,72.99465537071228,86.57754063606262,91.44384860992432,79.27997676867842,79.27997676867842
3,0.7699029938456622,0.848765256883338,74.01069402694702,87.32620477676392,92.9411768913269,80.17690237136453,80.17690237136453
4,0.5675552551630645,0.8892421231904627,74.22459721565247,87.05882430076599,91.97860956192017,80.13403438473169,80.13403438473169
5,0.46148632052199867,0.9103037184217996,74.01069402694702,86.79144382476807,91.39037728309631,79.80218595629658,79.80218595629658
6,0.39809346454508293,0.9222821458983821,73.90374541282654,86.84492111206055,92.08556413650513,79.87611141537786,79.87611141537786
7,0.34072344402274796,0.9366449049105876,72.9411780834198,86.09625697135925,91.65775179862976,79.03673750225516,79.03673750225516
8,0.30240850255396634,0.9443655975021289,74.8128354549408,87.80748844146729,92.03208684921265,80.75329162274753,80.75329162274753
9,0.2718779460192065,0.9524269088844735,74.75935816764832,87.64705657958984,91.4973258972168,80.44446577737651,80.44446577737651
10,0.24920944599580128,0.9575361907465229,73.6898422241211,87.54010796546936,91.92513227462769,79.9772777280091,79.9772777280091
11,0.2466463386454164,0.9590122055066704,74.86631274223328,86.79144382476807,92.13903546333313,80.4118913443624,80.4118913443624
12,0.21422444768937313,0.9653136531365314,73.52941036224365,86.6844892501831,90.90909361839294,79.56543558654462,79.56543558654462
13,0.20865106675017803,0.9675276752767528,74.43850040435791,88.12834024429321,92.5668478012085,80.66688608364605,80.66688608364605
14,0.19087805213438933,0.9726369571388022,73.63636493682861,87.70053386688232,92.19251275062561,79.75378103587506,79.75378103587506
15,0.17825582140113966,0.9739994323020154,73.7433135509491,87.21925020217896,91.65775179862976,80.0890999137373,80.0890999137373
16,0.17219508990556584,0.9769514618223105,74.43850040435791,87.48663067817688,92.45989322662354,80.51543595768533,80.51543595768533
17,0.17160842647834695,0.9766676128299745,75.24064183235168,87.96791434288025,91.71122908592224,81.0243124019197,81.0243124019197
18,0.15955331312503593,0.9809821175134829,74.0641713142395,85.77539920806885,90.3743326663971,79.36116304943172,79.36116304943172
19,0.14415287641327793,0.9829690604598353,74.65240359306335,87.86095976829529,92.08556413650513,80.47473070431901,80.47473070431901
20,0.14212044088078465,0.9845586148169174,75.24064183235168,87.48663067817688,91.4973258972168,80.91616522229359,80.91616522229359
