epoch,train_loss,train_acc,test_r1,test_r5,test_r10,test_mAP,test_mINP
0,8.54634885220013,0.0014776734714150896,6.588049978017807,15.353773534297943,21.48584872484207,12.046377342089603,12.046377342089603
1,7.84671845104752,0.0037252272388615705,10.05503162741661,22.696541249752045,31.4386785030365,17.430334558308736,17.430334558308736
2,7.347217324273523,0.006866835543634828,13.16823959350586,27.4842768907547,37.680816650390625,21.32978236532318,21.32978236532318
3,6.897972316161203,0.01127502110962102,17.460691928863525,36.611634492874146,48.28616380691528,27.568344874957653,27.568344874957653
4,6.4593808088585405,0.01918492028013709,21.86320722103119,44.70911920070648,57.444965839385986,33.35245746510892,33.35245746510892
5,5.990697695211487,0.034023742114935675,27.783018350601196,54.33962345123291,67.45283007621765,40.47213455594091,40.47213455594091
6,5.493139632654245,0.055580390403814635,32.405659556388855,60.88836193084717,73.96226525306702,45.69663489867393,45.69663489867393
7,5.0357824804317115,0.08031589926985547,37.94025182723999,68.01886558532715,80.01572489738464,51.655263135373794,51.655263135373794
8,4.6244634649043395,0.11277504594446928,40.66824018955231,72.35062718391418,83.63207578659058,54.836071778431176,54.836071778431176
9,4.232958109872752,0.15047434560174838,46.202829480171204,78.01100611686707,87.53930926322937,60.19458132511798,60.19458132511798
10,3.888474582743551,0.19061987781254658,49.127358198165894,80.13364672660828,89.26886916160583,62.71666822153917,62.71666822153917
11,3.570656190879866,0.2350618387721651,51.45440101623535,81.98899626731873,90.59748649597168,64.85358107438404,64.85358107438404
12,3.2935567620862454,0.2760393383996424,56.05345964431763,85.1257860660553,92.48427748680115,68.81804580966812,68.81804580966812
13,3.052505270045578,0.3164456365171609,55.99842667579651,85.8726441860199,92.91666746139526,68.91949457569848,68.91949457569848
14,2.818260450817425,0.35795708538220833,59.21383500099182,88.2468581199646,94.41037774085999,71.85141973740669,71.85141973740669
15,2.6218429836355046,0.39843788804450403,61.12421154975891,88.5613203048706,94.57547068595886,73.10365414321126,73.10365414321126
16,2.4428610441694554,0.4358391695226742,62.32704520225525,89.92138504981995,95.31446695327759,74.37757063475878,74.37757063475878
17,2.267833254029769,0.4725078229772016,65.4716968536377,91.1242127418518,95.99056839942932,76.56443770914812,76.56443770914812
18,2.123453822095899,0.5063204688819352,65.85691571235657,91.47799015045166,96.0927665233612,76.93109394037518,76.93109394037518
19,1.9873913922478272,0.5366934883027865,67.83804893493652,92.5000011920929,96.74528241157532,78.54342753024817,78.54342753024817
20,1.8779729067500643,0.5626334873093926,69.2767322063446,93.55345964431763,97.29560017585754,79.76185995549623,79.76185995549623
21,1.7608096488617646,0.592733323399394,69.89780068397522,93.72641444206238,97.20911979675293,80.16130089213519,80.16130089213519
22,1.6594413243219726,0.6167362042417921,72.27201461791992,94.59119439125061,97.61006236076355,81.98845364286107,81.98845364286107
23,1.5674873563765248,0.6430735608205433,73.47484230995178,95.00786066055298,97.96383380889893,82.75974888113582,82.75974888113582
24,1.486733761474639,0.6651393234987334,73.62421154975891,94.504714012146,97.68081903457642,82.71520716098216,82.71520716098216
25,1.4144394679105756,0.6834053543932846,74.75628852844238,94.94496583938599,97.99528121948242,83.63682971917432,83.63682971917432
26,1.3361667427500106,0.7079173496249938,76.14780068397522,95.54245471954346,98.16823601722717,84.54207494453664,84.54207494453664
27,1.2769506964972246,0.7194531366413351,75.48742294311523,95.63679099082947,98.29402565956116,84.2437206247848,84.2437206247848
28,1.2144076185598758,0.7382034470769384,77.4056613445282,96.27358317375183,98.46698045730591,85.62599318268393,85.62599318268393
29,1.163285799556545,0.7542840113246908,77.36635208129883,96.05345726013184,98.45125675201416,85.57168548578105,85.57168548578105
30,1.112508087170519,0.7674837331743903,78.31761240959167,96.05345726013184,98.4984278678894,86.0514477188369,86.0514477188369
31,1.0650156305496237,0.7837133065116972,78.8128912448883,96.4701235294342,98.53773713111877,86.50535581245758,86.50535581245758
32,1.020532743696223,0.7936720806635872,78.82075309753418,96.66666388511658,98.6871063709259,86.58939307951272,86.58939307951272
33,0.9799467248887731,0.8052699548005762,79.79559898376465,96.70597314834595,98.77358675003052,87.14896591247694,87.14896591247694
34,0.9375533272836021,0.8191774698256593,80.91981410980225,97.17767238616943,99.04873967170715,87.99941714383813,87.99941714383813
35,0.9101286226713207,0.8271370386926936,80.67610263824463,97.20911979675293,98.8443374633789,87.90961403941965,87.90961403941965
36,0.8728322870524234,0.8381512938955943,80.94339370727539,97.08333611488342,98.86006116867065,88.0160045527187,88.0160045527187
37,0.8442963402832472,0.8448691203496747,81.26572370529175,97.24056720733643,98.99371266365051,88.2252148883199,88.2252148883199
38,0.8207564110290049,0.8534247255749268,81.67452812194824,97.39779829978943,99.04087781906128,88.61114823663677,88.61114823663677
39,0.7964089436650199,0.8600928823324889,82.4999988079071,97.6257860660553,99.17452931404114,89.10166617121547,89.10166617121547
40,0.7701969943351861,0.8685864004370933,82.63365030288696,97.61006236076355,99.11949634552002,89.2265073859998,89.2265073859998
41,0.7536843986641021,0.8741618238712562,83.25471878051758,97.87735939025879,99.27672743797302,89.66032619104827,89.66032619104827
42,0.7357400341632676,0.8769805791486615,83.02673101425171,97.67295718193054,99.15094375610352,89.48227485995393,89.48227485995393
43,0.7177816793039091,0.883288630606467,83.30974578857422,97.90880680084229,99.26100373268127,89.73025413222314,89.73025413222314
44,0.7097665253738553,0.8855113495256544,83.69497060775757,97.83018827438354,99.30817484855652,89.95498332668573,89.95498332668573
45,0.690134779523999,0.8912606168976308,83.72641801834106,97.7515697479248,99.31603670120239,89.95587197500252,89.95587197500252
46,0.6797154579563811,0.8940172850543883,83.96226167678833,97.7830171585083,99.31603670120239,90.10279125986462,90.10279125986462
47,0.6736630079927787,0.8958923160979486,84.07232761383057,97.94025421142578,99.23742413520813,90.16105287722061,90.16105287722061
48,0.6684685817852181,0.8976183380519545,84.07232761383057,97.92453050613403,99.2845892906189,90.1680187295394,90.1680187295394
49,0.6701179215362482,0.89666219639398,83.80503058433533,97.86949753761292,99.245285987854,90.00675329265589,90.00675329265589
50,0.660547565177556,0.899567873640292,84.02515649795532,97.97955751419067,99.30817484855652,90.21346297846553,90.21346297846553
51,0.6569188095528187,0.8995182039437739,83.96226167678833,97.90094494819641,99.31603670120239,90.1302083016637,90.1302083016637
52,0.6585336585357021,0.9000397357572145,84.2216968536377,97.86949753761292,99.22956228256226,90.25426450515849,90.25426450515849
53,0.6576915864457034,0.9001390751502508,83.90723466873169,97.89308309555054,99.30817484855652,90.12151470124165,90.12151470124165
54,0.6590499460374475,0.9004495107534893,84.07232761383057,97.83805012702942,99.30817484855652,90.20161280740344,90.20161280740344
55,0.6598048543205313,0.8991829334922764,83.76572132110596,97.94811606407166,99.37106966972351,90.04421659045757,90.04421659045757
56,0.6721281228877627,0.89666219639398,83.96226167678833,97.9716956615448,99.33176040649414,90.09346645605926,90.09346645605926
57,0.6678917669583224,0.8988600804649084,84.07232761383057,98.0031430721283,99.35534596443176,90.19970849828633,90.19970849828633
58,0.6697903822864901,0.8978791039586748,83.71069431304932,97.79874086380005,99.23742413520813,89.94935127359129,89.94935127359129
59,0.6799082825792911,0.8953211145879899,83.5927665233612,97.95597195625305,99.30817484855652,89.87427654165204,89.87427654165204
