epoch,train_loss,train_acc,test_r1,test_r5,test_r10,test_mAP,test_mINP
0,7.3173651536566275,0.018017682411960462,33.341196179389954,61.48585081100464,73.8443374633789,46.603543674333054,46.603543674333054
1,4.799919103383603,0.1269433268762728,50.30660629272461,79.88993525505066,89.08805251121521,63.33868694071762,63.33868694071762
2,3.3588857353755,0.28538965876918493,58.40408802032471,85.6918215751648,92.86949634552002,70.37553850674573,70.37553850674573
3,2.5552174078099554,0.41525108031589925,61.08490824699402,87.6257836818695,94.10377144813538,72.68820500286967,72.68820500286967
4,2.074058944917392,0.5115482044404709,63.867926597595215,88.50628733634949,94.28459405899048,74.60679320162319,74.60679320162319
5,1.755200535661446,0.5804400735111509,65.18082022666931,89.45754766464233,94.39465403556824,75.8598458469783,75.8598458469783
6,1.5409722897321132,0.6309789897183729,66.82389974594116,90.04716873168945,94.99213695526123,76.92576992277235,76.92576992277235
7,1.3806392869881603,0.6701435454229374,66.3128912448883,89.81131911277771,94.70912218093872,76.47527632671246,76.47527632671246
8,1.263630091158151,0.7010753489296181,68.30188632011414,90.75471758842468,95.49528360366821,78.09559944613503,78.09559944613503
9,1.1679346894433944,0.7270898524810013,69.77201104164124,90.84119200706482,95.27515769004822,78.99010708989135,78.99010708989135
10,1.0942548465629285,0.7462126856404907,69.57547068595886,91.28144383430481,95.51886916160583,78.97981218110522,78.97981218110522
11,1.0319400250642303,0.7630134604877564,69.13521885871887,90.98270535469055,95.22798657417297,78.60983705519132,78.60983705519132
12,0.9732713776314981,0.7789201807976953,70.92767357826233,92.00471639633179,95.78616619110107,80.12191696758408,80.12191696758408
13,0.9273854009808961,0.7923682511299855,70.89622616767883,92.33490824699402,96.10849022865295,80.22403313115628,80.22403313115628
14,0.8912616106281158,0.8017682411960463,72.71226644515991,93.21540594100952,96.58805131912231,81.67903196411379,81.67903196411379
15,0.8603063626574291,0.8114289971688273,72.03616499900818,92.42138266563416,96.10062837600708,80.94384329074565,80.94384329074565
16,0.8142784827690938,0.82454179704962,72.90094494819641,92.69654154777527,96.45439982414246,81.62562090577265,81.62562090577265
