epoch,train_loss,train_acc,test_r1,test_r5,test_r10,test_mAP,test_mINP
0,6.335228259178376,0.16111268804995743,69.19786334037781,82.72727131843567,86.89839839935303,75.50801975363429,75.50801975363429
1,3.0291096879378183,0.5059324439398241,70.64170837402344,84.33154821395874,88.66310119628906,77.20915096474664,77.20915096474664
2,1.810961464390036,0.7036048822026681,72.13903665542603,86.14973425865173,90.53475856781006,78.78365953249414,78.78365953249414
3,1.2264840583587417,0.8049957422651149,71.92513346672058,85.34759283065796,90.16042947769165,78.35183769137288,78.35183769137288
4,0.8613162756913635,0.8677831393698552,73.58288764953613,87.32620477676392,92.13903546333313,79.93029969570877,79.93029969570877
5,0.644763969359938,0.9003690036900369,73.42246174812317,87.7540111541748,92.08556413650513,79.76929891007197,79.76929891007197
6,0.5242590387301319,0.922793074084587,74.01069402694702,86.6310179233551,91.55080318450928,79.99856798047901,79.99856798047901
7,0.4487989851029597,0.9358501277320466,73.26202988624573,87.27272748947144,91.76470637321472,79.78692042791566,79.78692042791566
8,0.39366509310061576,0.9447629860913994,75.29411911964417,87.00534701347351,91.8716549873352,80.90349595712588,80.90349595712588
9,0.3385987697559901,0.9528810672722112,73.31550717353821,86.79144382476807,91.8181836605072,79.4592563358202,79.4592563358202
10,0.3066153707556382,0.9604314504683509,74.27807450294495,87.64705657958984,92.5668478012085,80.54691297475868,80.54691297475868
11,0.2972837365455259,0.9613965370422936,74.27807450294495,87.27272748947144,91.8181836605072,80.16043320208486,80.16043320208486
12,0.2580492444871469,0.9678115242690889,75.24064183235168,89.09090757369995,92.78075098991394,81.44196594428632,81.44196594428632
13,0.23670732266788552,0.9697416974169741,75.29411911964417,87.86095976829529,92.51337051391602,80.98046494922343,80.98046494922343
14,0.23410665899591288,0.9729775759296054,74.01069402694702,87.32620477676392,91.55080318450928,80.01187713240533,80.01187713240533
15,0.23418620722371003,0.97206925915413,76.04278326034546,88.5026752948761,92.45989322662354,81.59167730666728,81.59167730666728
16,0.2010388809799505,0.979449332954868,75.24064183235168,88.02139163017273,92.35293865203857,81.04987253875926,81.04987253875926
17,0.19006064522767183,0.9790519443655975,75.9358286857605,87.11230158805847,91.8181836605072,81.17495120292472,81.17495120292472
18,0.17669976260084813,0.98103888731195,73.63636493682861,87.21925020217896,92.24599003791809,80.16879558446865,80.16879558446865
19,0.184207402162514,0.9802441101334091,74.38502907752991,87.86095976829529,92.35293865203857,80.5065542992773,80.5065542992773
20,0.15357870213558414,0.9845018450184502,75.08021593093872,87.64705657958984,92.24599003791809,80.92631143347208,80.92631143347208
21,0.14623568968325557,0.9871132557479421,73.63636493682861,88.07486891746521,92.45989322662354,80.15816722854035,80.15816722854035
22,0.14739519504620344,0.9854101617939256,73.52941036224365,87.96791434288025,92.5668478012085,80.0243435391918,80.0243435391918
23,0.14117901410073203,0.9877944933295487,74.43850040435791,87.59358525276184,92.03208684921265,80.49463187193143,80.49463187193143
24,0.1503997568866931,0.988418961112688,74.49197769165039,86.95186972618103,91.06951951980591,80.21557536176836,80.21557536176836
25,0.12458285433204547,0.9904059040590406,74.27807450294495,87.3796820640564,92.72727370262146,80.38404127305485,80.38404127305485
