epoch,train_loss,test_loss,train_err,test_err
1,2.2708293949267984,1.7229647453014667,0.3549039433771486,0.05197505197505192
2,0.4473204491594081,0.18387807983122845,0.030333670374115274,0.014553014553014498
3,0.18405165267906728,0.08094697885540568,0.008088978766430777,0.004158004158004158
4,0.10277795038281123,0.05199767254184536,0.0030333670374115274,0.0020790020790020236
5,0.06815027984196304,0.03882668192910801,0.0007583417593528541,0.0020790020790020236
6,0.05470200475113216,0.03034075860731815,0.0007583417593528541,0.0020790020790020236
7,0.043699729048220406,0.0271135972901838,0.00025278058645095136,0.0020790020790020236
8,0.03602491852547691,0.02522416168479191,0.00025278058645095136,0.0020790020790020236
9,0.0321720310000004,0.020703784788410777,0.0005055611729019027,0.0
10,0.02844088126437247,0.01865085316996193,0.00025278058645095136,0.0
