epoch,train_loss,train_acc,test_r1,test_r5,test_r10,test_mAP,test_mINP
0,5.944638511750836,0.2047686630712461,76.20320916175842,88.66310119628906,92.9411768913269,81.95887832409989,81.95887832409989
1,3.1268101618569446,0.6226511495884189,76.2566864490509,89.9465262889862,93.47593784332275,82.4504088456861,82.4504088456861
2,1.738062396578717,0.8283281294351406,77.64706015586853,89.89304900169373,93.63636374473572,83.2524060191822,83.2524060191822
3,1.064364278908653,0.9114391143911439,78.1283438205719,90.26737809181213,94.0641701221466,83.6736229207269,83.6736229207269
4,0.7219840773492586,0.9468066988362192,78.71657609939575,90.3743326663971,93.79678964614868,83.94181813166833,83.94181813166833
5,0.5527518002546344,0.9637240987794493,78.23529243469238,90.16042947769165,93.90374422073364,83.7159778839533,83.7159778839533
6,0.44446622955504717,0.9725801873403349,78.39572429656982,90.42780995368958,94.27807331085205,83.96238442185481,83.96238442185481
7,0.37956690689125355,0.9774056202100483,78.07486653327942,90.21390080451965,93.58288645744324,83.67056649635137,83.67056649635137
8,0.3275586331479427,0.9795628725518024,78.44919562339783,90.32085537910461,93.6898410320282,83.8670419915758,83.8670419915758
9,0.29310531764249725,0.9833664490491059,78.50267291069031,90.7486617565155,93.63636374473572,84.10299893094852,84.10299893094852
10,0.2697902731739118,0.9863752483678683,79.03743386268616,91.06951951980591,94.01069283485413,84.57326115770061,84.57326115770061
11,0.24844755468773225,0.9877944933295487,78.8770079612732,90.96256494522095,94.59893107414246,84.6445146872451,84.6445146872451
12,0.23547755572019638,0.9893840476866307,79.30481433868408,90.7486617565155,94.11764740943909,84.78312355676736,84.78312355676736
13,0.22083980630583092,0.9898382060743685,78.23529243469238,91.01604223251343,94.22459602355957,84.1610058102405,84.1610058102405
14,0.20941957683343965,0.9908600624467783,78.82353067398071,91.06951951980591,94.70587968826294,84.56512484869928,84.56512484869928
15,0.20264019830183586,0.9924496168038603,79.83956933021545,91.01604223251343,94.59893107414246,85.16963071163688,85.16963071163688
16,0.18124900841844918,0.9927902355946636,79.572194814682,90.80213904380798,94.11764740943909,84.91216248129265,84.91216248129265
17,0.1779307685739575,0.9933579335793358,79.03743386268616,91.01604223251343,94.54545378684998,84.62543897726097,84.62543897726097
18,0.18425089981097104,0.9932443939824014,78.9304792881012,91.39037728309631,94.38502788543701,84.75972848716033,84.75972848716033
19,0.17010250046802725,0.9935282429747374,78.98395657539368,90.85561633110046,94.27807331085205,84.40978237156048,84.40978237156048
20,0.17083875444161767,0.9946636389440817,79.83956933021545,91.01604223251343,94.0641701221466,85.03291685172366,85.03291685172366
21,0.16588188145408025,0.9943797899517457,78.66309881210327,90.96256494522095,94.0641701221466,84.32162030978226,84.32162030978226
22,0.1618108435268264,0.9949474879364179,79.572194814682,91.22994542121887,94.27807331085205,84.86021066474973,84.86021066474973
23,0.15342573284417635,0.9954016463241555,79.03743386268616,91.17646813392639,94.54545378684998,84.67919144391793,84.67919144391793
24,0.15522610611225982,0.9962531933011638,79.35829162597656,91.55080318450928,94.38502788543701,84.8932465274879,84.8932465274879
25,0.14452705380593786,0.9959693443088277,79.19785976409912,91.39037728309631,94.70587968826294,84.83785558905419,84.83785558905419
