epoch,train_loss,test_loss,train_err,test_err
1,5.545893237152559,5.974935531616211,0.9750013440137627,0.9861111111111112
2,4.590322464206233,4.869277636210124,0.9336594806730821,0.9461805555555556
3,3.973228435914726,3.8296021355523004,0.8827751196172249,0.875
4,3.424470926252695,3.469596015082465,0.8101714961561206,0.8107638888888888
5,2.9377167345881365,4.1419997745090065,0.7303101983764313,0.8402777777777778
6,2.5103151682377964,2.4569560156928167,0.6464437395838933,0.640625
7,2.174759487267252,1.9464809364742703,0.5735175528197409,0.5416666666666667
8,1.9062290670256365,1.8404445515738592,0.5109133917531316,0.49479166666666663
9,1.7114415637498697,1.99967180358039,0.462502016020644,0.5295138888888888
10,1.5762960805308979,1.5501319368680317,0.4315359389280147,0.4097222222222222
11,0.796646700739303,0.40638143486446804,0.2265738401161228,0.10590277777777779
12,0.5617021753143145,0.3116012215614319,0.16082468684479334,0.07638888888888884
13,0.4573136641177354,0.25620003044605255,0.12773506800709644,0.05208333333333337
14,0.39383375173960633,0.22049562550253338,0.11114993817536689,0.05555555555555558
15,0.33730260944739443,0.1938565062979857,0.09252190742433197,0.04513888888888884
16,0.2972905609269442,0.17428683365384737,0.08026450190849954,0.03993055555555558
17,0.2639031125668473,0.15656377747654915,0.06913606795333582,0.03645833333333337
18,0.23055672641563374,0.1370368753042486,0.057228106015805635,0.03645833333333337
19,0.20101500063947142,0.1355165739854177,0.04800817160367721,0.03125
20,0.18686248852093945,0.1167701789074474,0.04330412343422396,0.02951388888888884
21,0.1407329767844695,0.08625036002033287,0.028788774797053884,0.01909722222222221
22,0.1215863553769588,0.08415927179157734,0.021746142680501013,0.01909722222222221
23,0.11442452240958598,0.07788416122396787,0.018896833503575072,0.015625
24,0.10960726553147522,0.07902982686128882,0.01849362937476484,0.02083333333333337
25,0.10691164439163262,0.07684422925942475,0.017633460566636172,0.01909722222222221
26,0.10521893604767142,0.07440321126745807,0.01618192570291921,0.015625
27,0.10007136021586273,0.07409020182159212,0.015913122950379055,0.015625
28,0.09861053655698193,0.0715683771090375,0.013897102306327569,0.01736111111111116
29,0.09528382087528824,0.06933332793414593,0.013440137627009352,0.015625
30,0.09547122193820938,0.06923736321429412,0.013574539003279429,0.01215277777777779
31,0.09005111385901687,0.06917754871149857,0.01271437019515076,0.01388888888888884
32,0.09038194112087551,0.06829915175007449,0.012687489919896766,0.01388888888888884
33,0.08945219383235709,0.06664564129379061,0.012445567442610606,0.01388888888888884
34,0.09164056779364028,0.06840503298574024,0.012768130745658857,0.01388888888888884
35,0.090174878815106,0.06725204798082511,0.012821891296166843,0.01388888888888884
36,0.09025786021106198,0.06626255147986942,0.01295629267243692,0.015625
37,0.0885890274414817,0.0674061831086874,0.01177356056126011,0.015625
38,0.08710278639946693,0.06767923364208804,0.01137035643244988,0.015625
39,0.08813677106566739,0.06656166849037011,0.012311166066340529,0.01736111111111116
40,0.08847039398195461,0.06648674255443944,0.011961722488038284,0.015625
41,0.0906124366357707,0.06660058949556616,0.013010053222945017,0.01388888888888884
42,0.08617776751992498,0.06563850533631113,0.011155314230417712,0.01736111111111116
43,0.08987718985116737,0.06699087822602855,0.013144454599215094,0.01736111111111116
44,0.08822669316952181,0.06631836419304211,0.011961722488038284,0.01388888888888884
45,0.08774897706751528,0.06698345641295116,0.012123004139562354,0.015625
46,0.08687524639302752,0.06588866872092088,0.011961722488038284,0.015625
47,0.08864211564047747,0.0665009632292721,0.012418687167356612,0.015625
48,0.0862010794761687,0.06566454966862996,0.011235955056179803,0.01388888888888884
49,0.08703501553543408,0.06584604415628645,0.010698349551099384,0.01736111111111116
50,0.08578324195845308,0.06606726638144916,0.01137035643244988,0.015625
