epoch,train_loss,train_acc,test_r1,test_r5,test_r10,test_mAP,test_mINP
0,2.983500479567039,0.5035389282103134,99.59016442298889,100.0,100.0,85.59643354513142,55.30675619923131
1,1.1181861635888912,0.9229019211324571,99.59016442298889,100.0,100.0,88.4355080499829,61.173523545907436
2,0.4566192352132923,0.9787664307381193,100.0,100.0,100.0,89.56978734822691,61.72317853415355
3,0.23777867240418799,0.993427704752275,100.0,100.0,100.0,89.31734217420467,63.977150048983745
4,0.15208914109832478,0.9949443882709808,100.0,100.0,100.0,89.31188239107533,63.96237569735991
5,0.10156042077573896,0.9969666329625885,100.0,100.0,100.0,89.5566514561352,63.58644100248318
6,0.0833566985926445,0.9967138523761375,100.0,100.0,100.0,89.99026000301707,65.40799762790714
7,0.06124306684858999,0.9984833164812943,100.0,100.0,100.0,89.64607240088706,65.5158893370326
8,0.051504498688528584,0.9987360970677452,100.0,100.0,100.0,89.43826092063944,65.11164560881683
9,0.040131818732911585,0.9989888776541962,100.0,100.0,100.0,89.66973661165558,65.13638090653191
10,0.036654079022192976,0.9984833164812943,100.0,100.0,100.0,89.90417166950647,65.09754971497806
11,0.03127573896858642,0.9992416582406471,100.0,100.0,100.0,89.6823666301984,65.198915788806
12,0.03118412006039952,0.9984833164812943,100.0,100.0,100.0,89.90945900373089,65.48245885142427
13,0.026477240355585536,0.9994944388270981,100.0,100.0,100.0,89.84033041917698,65.22949050475897
14,0.022903326825362124,0.9994944388270981,100.0,100.0,100.0,90.08081607108403,64.42995798281255
15,0.021076566500154194,0.999747219413549,100.0,100.0,100.0,90.24795325656308,65.52807995827764
16,0.02181382089687551,0.9989888776541962,100.0,100.0,100.0,89.61294417882856,63.83132470062062
17,0.018479738282783688,0.9994944388270981,100.0,100.0,100.0,89.99798220926655,65.09666114119376
18,0.017114743345517842,0.9994944388270981,100.0,100.0,100.0,90.01372322554528,65.6015466167321
19,0.017791264446563378,0.9989888776541962,100.0,100.0,100.0,89.93325826787878,65.20003308193671
20,0.017699713077625925,0.9989888776541962,100.0,100.0,100.0,90.000591225421,65.37251191614418
21,0.01724601542262626,0.9992416582406471,99.59016442298889,100.0,100.0,89.65977194803732,64.99320593795724
22,0.01478018718173669,0.9994944388270981,100.0,100.0,100.0,89.58117201561,64.7583995022581
23,0.01416808275149945,0.9992416582406471,100.0,100.0,100.0,89.09644908841298,64.72258583037019
24,0.014966964861048485,0.9989888776541962,100.0,100.0,100.0,89.70691235247928,65.31630160429349
25,0.01496334702220978,0.9994944388270981,100.0,100.0,100.0,89.51876904228384,65.70569755755523
