epoch,train_loss,train_acc,test_r1,test_r5,test_r10,test_mAP,test_mINP
0,8.131670023061204,0.0035886355734366464,12.106918543577194,29.55188751220703,40.8883661031723,21.584678497834233,21.584678497834233
1,6.679695887696587,0.01544727561714598,19.716981053352356,44.276729226112366,58.40408802032471,32.0364336136671,32.0364336136671
2,5.672685904041734,0.04296428748820345,28.294023871421814,58.286166191101074,71.71383500099182,42.22314097264887,42.22314097264887
3,4.78586541248648,0.09508021655987682,41.328614950180054,73.91509413719177,85.72326898574829,55.86985419059215,55.86985419059215
4,3.936924128574331,0.18157999304624248,50.770437717437744,82.49213695526123,91.4072334766388,64.68511229157824,64.68511229157824
5,3.208023470500741,0.28588635573436644,58.33333134651184,88.78930807113647,95.18081545829773,71.47360809428449,71.47360809428449
6,2.6378952384332557,0.38681517905925594,64.45754766464233,91.10848903656006,96.36792540550232,75.91697474243956,75.91697474243956
7,2.19678791374692,0.47759896687031245,65.40880799293518,91.21069312095642,96.04559540748596,76.47851944127346,76.47851944127346
8,1.8660689009430216,0.5501167237868176,69.28459405899048,92.79873967170715,96.91823720932007,79.42630372330825,79.42630372330825
9,1.6101102762308028,0.6119927482243084,72.9716956615448,95.10220289230347,98.13679456710815,82.5410045279128,82.5410045279128
10,1.411597726597656,0.660172353846918,71.89465165138245,94.19025182723999,97.4371075630188,81.55559220757796,81.55559220757796
11,1.2569935935706393,0.6989147171310783,72.50786423683167,94.347482919693,97.50786423683167,81.87656204977142,81.87656204977142
12,1.125934375414211,0.7346272289276312,78.1603753566742,96.33647799491882,98.3726441860199,85.99274276825591,85.99274276825591
13,1.0276689283812164,0.7604182188446829,77.19339728355408,95.77044248580933,98.03459048271179,85.26993080497235,85.26993080497235
14,0.9417136558470094,0.7828937565191477,79.14308309555054,96.61949872970581,98.53773713111877,86.73088841144884,86.73088841144884
15,0.8716952375616526,0.8025505389162072,77.38207578659058,95.48742175102234,97.95597195625305,85.32862448070337,85.32862448070337
16,0.8048009959002848,0.8211890925346446,78.67924571037292,96.02987170219421,98.0031430721283,86.23768344419916,86.23768344419916
17,0.7495635706225078,0.83853623404361,80.46383857727051,96.70597314834595,98.48270416259766,87.60156360426822,87.60156360426822
18,0.7046383547130394,0.8516738687726618,80.3459107875824,96.64308428764343,98.40408563613892,87.46520639009361,87.46520639009361
19,0.6643171358089573,0.8619182436795311,82.09905624389648,97.36635088920593,98.82861375808716,88.78697773299801,88.78697773299801
20,0.6230539571082533,0.8745715988675309,82.13050365447998,97.30346202850342,98.72641563415527,88.81946331275165,88.81946331275165
21,0.5846150605243832,0.8856603586152089,83.36477875709534,97.35848903656006,98.72641563415527,89.53269151721676,89.53269151721676
22,0.5635202037283308,0.8915338002284806,82.92452692985535,97.01257944107056,98.64779710769653,89.11954107037724,89.11954107037724
23,0.528891811757852,0.9013932349873343,84.80346202850342,97.93239235877991,99.00943636894226,90.54237041224437,90.54237041224437
24,0.49626985215539166,0.9113271742909651,84.3396246433258,97.7515697479248,99.11949634552002,90.26960245842581,90.26960245842581
25,0.4747846839633173,0.9169646848457756,84.80346202850342,97.79087901115417,99.05660152435303,90.56632712800074,90.56632712800074
26,0.4530531650671203,0.9221551681319227,85.47955751419067,97.83018827438354,99.04087781906128,90.85691190025665,90.85691190025665
27,0.4319442628552956,0.9275070779317538,85.48741936683655,98.06603789329529,99.08804893493652,90.99626369497653,90.99626369497653
28,0.4141143677528691,0.9336040331793573,85.97484230995178,97.93239235877991,98.99371266365051,91.29333855585674,91.29333855585674
29,0.3922856082173992,0.9390801172204838,86.31289601325989,98.08176159858704,99.18239116668701,91.59469016721556,91.59469016721556
30,0.37220360659832974,0.944965976257885,86.745285987854,98.1918215751648,99.00157451629639,91.78483075312649,91.78483075312649
31,0.3550979007994525,0.9496845974271098,86.83176040649414,98.18395972251892,99.08804893493652,91.8460010456633,91.8460010456633
32,0.341202959191075,0.9527392837629762,86.43081784248352,98.18395972251892,99.10377264022827,91.60412689948328,91.60412689948328
33,0.3269451557390915,0.9559926488849153,88.56918215751648,98.53773713111877,99.29245114326477,92.99841822111703,92.99841822111703
34,0.3079732167840993,0.9614314806536532,87.91666626930237,98.3726441860199,99.19811487197876,92.57275214271347,92.57275214271347
35,0.2987931983035006,0.9627973973079025,88.60849142074585,98.58490824699402,99.36320781707764,93.02570107539339,93.02570107539339
36,0.2867720047230219,0.965069785923608,88.55345845222473,98.52201342582703,99.37106966972351,93.0181039368402,93.0181039368402
37,0.275420505673201,0.9679133760492723,89.1902506351471,98.59277009963989,99.33962225914001,93.29406307625553,93.29406307625553
38,0.264418770157562,0.9702354343614961,89.04088139533997,98.61634969711304,99.41037893295288,93.29130782897388,93.29130782897388
39,0.2521196818710564,0.9732280335767148,89.66981172561646,98.7500011920929,99.41824078559875,93.67992999892427,93.67992999892427
40,0.2462747609278416,0.9745566979585755,89.70125913619995,98.79717230796814,99.48899149894714,93.7836626497315,93.7836626497315
41,0.23769612289935177,0.9762578850643222,89.88993763923645,98.88364672660828,99.48112964630127,93.89996203927662,93.89996203927662
42,0.23006297023204106,0.9771022699051308,90.07861614227295,98.94654154777527,99.52043890953064,94.0143016330436,94.0143016330436
43,0.2271692707230945,0.9776610539909601,90.36163687705994,98.9386796951294,99.48112964630127,94.16478470834782,94.16478470834782
44,0.21894041487873742,0.980032781999702,90.43238759040833,98.95440340042114,99.52830076217651,94.24080144558307,94.24080144558307
45,0.21374771963944292,0.9808523319922515,90.44811129570007,98.95440340042114,99.55974817276001,94.22627173224733,94.22627173224733
46,0.20968644541303347,0.9820568221328168,90.6289279460907,99.07232522964478,99.53616261482239,94.37417453689355,94.37417453689355
47,0.20879042806719156,0.9815477077435056,90.72327017784119,99.00157451629639,99.55974817276001,94.38580898969865,94.38580898969865
48,0.20653001593358056,0.9822430834947599,90.41666388511658,98.92295598983765,99.54402446746826,94.20112679202788,94.20112679202788
